acctposid,source,rep_no,invest,co_no,cusip_no,company,inv_type,inv_no,date,date_rec,activ_date,buy_sell,units,price,net_amt,d_amt,f_amt,cli_no,soc_sec,addr,city,state,zip,cli_name,fname,lname,middle,branch_no,customerid,lastmodify
NULL,"DST",2,"FID HI-YLD - T",89,"315807305","FIDELITY INVESTMENTS (MF)",20,268,2003/04/01 00:00:00,2003/04/03 00:00:00,NULL,"B",3.8530,10.210000,39.34,0.00,39.34,"999901597","999-98-3706","999 HARRIS TIME PKWY OLYMPIA W",NULL,"NJ",NULL,"JUJU, HERMIE","PATRICIA A","KOLS",NULL,NULL,1,2018/07/30 18:10:38
NULL,"DST",2,"FID HI-YLD - T",89,"315807305","FIDELITY INVESTMENTS (MF)",20,268,2003/04/01 00:00:00,2003/04/03 00:00:00,NULL,"B",14.7430,10.210000,150.53,0.00,150.53,"99990106J","999-90-0294","123 SKYWOOD DRIVE NORTH PARK O","FANWOOD","NJ","07023-1643","LEE, EVERETT","GARY D","COFFEE",NULL,NULL,1,2018/07/30 18:10:38
NULL,"DST",2,"FID HI-YLD - T",89,"315807305","FIDELITY INVESTMENTS (MF)",20,268,2003/04/01 00:00:00,2003/04/03 00:00:00,NULL,"B",30.7200,10.210000,313.65,0.00,313.65,"999907188","999-98-8966","999 HARRIS TIME PKWY OLYMPIA W",NULL,"NJ","08822-","JULES, MYRON","RITA C","DEADERS",NULL,NULL,1,2018/07/30 18:10:38
NULL,"DST",2,"DELA TAX-FR PA FUND - A",88,"233216100","DELAWARE INVESTMENTS",20,606,2003/04/01 00:00:00,2003/04/03 00:00:00,NULL,"B",7597.1940,7.630000,57966.59,0.00,57966.59,"999901597","999-94-9769","123 SKYWOOD DRIVE NORTH PARK O","Washington","PA","15301-9225","JUJU, HERMIE","LUCILLE","JACKS",NULL,NULL,1,2018/07/30 18:10:38
NULL,"DST",2,"DELA TREND FUND - A",88,"245905104","DELAWARE GROUP",20,291,2003/04/01 00:00:00,2003/04/03 00:00:00,NULL,"B",4221.7420,27.510000,116140.12,0.00,116140.12,"999901597","999-94-1446","999 HARRIS TIME PKWY OLYMPIA W","Rochester","NY","14526","JUJU, HERMIE","EVELYN","QUERTY",NULL,NULL,1,2018/07/30 18:10:38
NULL,"DST",2,"DELA TREND FUND - A",88,"245905104","DELAWARE GROUP",20,291,2003/04/01 00:00:00,2003/04/03 00:00:00,NULL,"B",0.0000,27.510000,0.00,0.00,0.00,"99990106J","999-98-4631","123 SKYWOOD DRIVE NORTH PARK O","HILLCREST","MI","48152-4321","LEE, EVERETT","DONALD","WITRES",NULL,NULL,1,2018/07/30 18:10:38
NULL,"DST",2,"ALLI GWTH & INC FUND - B",105,"018597203","ALLIANCE CAPITAL",20,4,2003/04/01 00:00:00,2003/04/03 00:00:00,NULL,"B",1443.6540,3.760000,5428.14,0.00,5428.14,"999901597","999-92-0261","123 SKYWOOD DRIVE NORTH PARK O","ROCHESTER","NY","14618-5622","JUJU, HERMIE","WILLETTA","FRANKS",NULL,NULL,1,2018/07/30 18:10:38
NULL,"DST",2,"ALLI GWTH & INC FUND - B",105,"018597203","ALLIANCE CAPITAL",20,4,2003/04/01 00:00:00,2003/04/03 00:00:00,NULL,"B",0.0000,3.760000,0.00,0.00,0.00,"99990106J","999-97-7733","999 HARRIS TIME PKWY OLYMPIA W","Lewisville","TX","75067-8728","LEE, EVERETT","GERARD N","PARKS",NULL,NULL,1,2018/07/30 18:10:38
NULL,"DST",2,"ALLI GWTH & INC FUND - B",105,"018597203","ALLIANCE CAPITAL",20,4,2003/04/01 00:00:00,2003/04/03 00:00:00,NULL,"B",21947.1530,3.760000,82521.30,0.00,82521.30,"999907188","999-92-5917","123 SKYWOOD DRIVE NORTH PARK O","FLOWER MOUND","TX","75028-3208","JULES, MYRON","DORIA","TIM",NULL,NULL,1,2018/07/30 18:10:38
NULL,"DST",2,"GOLD ILA-PRIME OBLIGATION SERVICE",161,"38142B815","GOLDMAN SACHS & CO",20,884,2003/04/01 00:00:00,2003/04/03 00:00:00,NULL,"B",0.0000,1.000000,0.00,0.00,0.00,"999901597","999-92-2101","123 SKYWOOD DRIVE NORTH PARK O","RANDOLPH","NJ","07869-","JUJU, HERMIE","RICHARD D","WALLACE",NULL,NULL,1,2018/07/30 18:10:38
NULL,"DST",2,"GOLD GWTH STRATEGY PORT - B",161,"38142V613","GOLDMAN SACHS FUNDS",20,882,2003/04/01 00:00:00,2003/04/03 00:00:00,NULL,"B",3907.4860,11.760000,45952.04,0.00,45952.04,"999901597","999-9","123 SKYWOOD DRIVE NORTH PARK O","GLENSIDE","PA","19038-","JUJU, HERMIE","CAROL","POLINE",NULL,NULL,1,2018/07/30 18:10:38
NULL,"DST",2,"GOLD GWTH STRATEGY PORT - B",161,"38142V613","GOLDMAN SACHS FUNDS",20,882,2003/04/01 00:00:00,2003/04/03 00:00:00,NULL,"B",444.3870,11.760000,5225.99,0.00,5225.99,"99990106J","999-94-2089","999 HARRIS TIME PKWY OLYMPIA W","FISHERS","IN","46038-2228","LEE, EVERETT","SANDRA","AUILE",NULL,NULL,1,2018/07/30 18:10:38
NULL,"DST",2,"LORD ABB GLOBAL EQUITY FUND - B",143,"543908305","LORD ABBETT & CO",20,1201,2003/04/01 00:00:00,2003/04/03 00:00:00,NULL,"B",201.9470,15.260000,3081.71,0.00,3081.71,"999901597","999-98-2420","123 SKYWOOD DRIVE NORTH PARK O","EDISON","NJ","08820-3441","JUJU, HERMIE","DAVID M","DINGY",NULL,NULL,1,2018/07/30 18:10:38
NULL,"DST",2,"LORD ABB GLOBAL EQUITY FUND - B",143,"543908305","LORD ABBETT & CO",20,1201,2003/04/01 00:00:00,2003/04/03 00:00:00,NULL,"B",0.0000,15.260000,0.00,0.00,0.00,"99990106J","999-92-9376","999 HARRIS TIME PKWY OLYMPIA W","BOONTON","NJ","07005-1655","LEE, EVERETT","ELAINE J","DASTERD",NULL,NULL,1,2018/07/30 18:10:38
NULL,"DST",2,"LORD ABB RESEARCH SM CAP VALUE - B",143,"543913503","LORD ABBETT & CO",20,1202,2003/04/01 00:00:00,2003/04/03 00:00:00,NULL,"B",0.0000,18.070000,0.00,0.00,0.00,"999901597","999-92-6870","123 SKYWOOD DRIVE NORTH PARK O","WASHINGTON","NJ","07882-4201","JUJU, HERMIE","LISA H","HEART",NULL,NULL,1,2018/07/30 18:10:38
NULL,"DST",2,"LORD ABB RESEARCH SM CAP VALUE - B",143,"543913503","LORD ABBETT & CO",20,1202,2003/04/01 00:00:00,2003/04/03 00:00:00,NULL,"B",0.0000,18.070000,0.00,0.00,0.00,"99990106J","999-90-6622","999 HARRIS TIME PKWY OLYMPIA W","NESHANIC STA","NJ","08853-4018","LEE, EVERETT","MELISSA M","FOOT",NULL,NULL,1,2018/07/30 18:10:38
NULL,"DST",2,"LORD ABB SECURITIES TRUST INTL - B",143,"543915847","LORD ABBETT & CO",20,1203,2003/04/01 00:00:00,2003/04/03 00:00:00,NULL,"B",212.4930,15.570000,3308.52,0.00,3308.52,"999901597","999-98-1923","999 HARRIS TIME PKWY OLYMPIA W","BEDMINISTER","NJ","07921-1424","JUJU, HERMIE","KENNETH S","WILLIS",NULL,NULL,1,2018/07/30 18:10:38
NULL,"DST",2,"BTS DEBENTURE FUND - A",48,"544004104","BTS/BOND TIMING",20,812,2003/04/01 00:00:00,2003/04/03 00:00:00,NULL,"B",977.0000,8.690000,8490.13,0.00,8490.13,"999901597","999-92-5708","999 HARRIS TIME PKWY OLYMPIA W","AKRON","OH","44313-6026","JUJU, HERMIE","PATRICIA M","WITRES",NULL,NULL,1,2018/07/30 18:10:38
NULL,"DST",2,"IDEX JCC GWTH - A",108,"45168C106","IDEX INVESTOR SERVICES",20,593,2003/04/01 00:00:00,2003/04/03 00:00:00,NULL,"B",1487.6640,45.680000,67956.49,0.00,67956.49,"999901597","999-92-1811","123 SKYWOOD DRIVE NORTH PARK O","Riverside","CA","92503-1044","JUJU, HERMIE","MERTON","ERASER",NULL,NULL,1,2018/07/30 18:10:38
NULL,"DST",2,"IDEX JCC GWTH - A",108,"45168C106","IDEX INVESTOR SERVICES",20,593,2003/04/01 00:00:00,2003/04/03 00:00:00,NULL,"B",1036.7990,45.680000,47360.98,0.00,47360.98,"99990106J","999-92-5883","999 HARRIS TIME PKWY OLYMPIA W","Milan","MI","48160-1085","LEE, EVERETT","LOUISE","BOZ",NULL,NULL,1,2018/07/30 18:10:38
NULL,"DST",2,"THORNBURG SPECIAL OPP - B",181,"409906880","THORNBURG SECURITIES CORPORATION",20,1472,2003/04/01 00:00:00,2003/04/03 00:00:00,NULL,"B",287.8530,14.940000,4300.52,0.00,4300.52,"999901597","999-95-5776","999 HARRIS TIME PKWY OLYMPIA W","Dallas","TX","75230-","JUJU, HERMIE","LUCINDA","KOLS",NULL,NULL,1,2018/07/30 18:10:38
NULL,"DST",2,"J HANCOCK LRG CAP VALUE - B",67,"41013P202","JOHN HANCOCK",20,355,2003/04/01 00:00:00,2003/04/03 00:00:00,NULL,"B",0.0000,26.480000,0.00,0.00,0.00,"999901597","999-94-7869","123 SKYWOOD DRIVE NORTH PARK O","FREMONT","CA","94539-6841","JUJU, HERMIE","JANET","JUJU",NULL,NULL,1,2018/07/30 18:10:38
NULL,"DST",2,"J HANCOCK LRG CAP VALUE - B",67,"41013P202","JOHN HANCOCK",20,355,2003/04/01 00:00:00,2003/04/03 00:00:00,NULL,"B",0.0000,26.480000,0.00,0.00,0.00,"99990106J","999-97-4570","999 HARRIS TIME PKWY OLYMPIA W","Fremont","CA","94539-6841","LEE, EVERETT","KATHLEEN G","LEE",NULL,NULL,1,2018/07/30 18:10:38
NULL,"DST",2,"J HANCOCK LRG CAP VALUE - B",67,"41013P202","JOHN HANCOCK",20,355,2003/04/01 00:00:00,2003/04/03 00:00:00,NULL,"B",43.4620,26.480000,1150.87,0.00,1150.87,"999907188","999-96-6608","123 SKYWOOD DRIVE NORTH PARK O",NULL,"NJ",NULL,"JULES, MYRON","STANLEY","POLINE",NULL,NULL,1,2018/07/30 18:10:38
NULL,"DST",2,"AMER SKAN FOUNDERS INTL SM CAP - A",163,"029650108","AMERICAN SKANDIA ADVISOR FUNDS",20,1466,2003/04/01 00:00:00,2003/04/03 00:00:00,NULL,"B",45.7250,17.780000,812.99,0.00,812.99,"999901597","999-90-1597","123 SKYWOOD DRIVE NORTH PARK O","BARRINGTON","NH","03825-","JUJU, HERMIE","JUSTIN C","HACKMAN",NULL,NULL,1,2018/07/30 18:10:38
NULL,"DST",2,"AMER SKAN FOUNDERS INTL SM CAP - A",163,"029650108","AMERICAN SKANDIA ADVISOR FUNDS",20,1466,2003/04/01 00:00:00,2003/04/03 00:00:00,NULL,"B",30.4820,17.780000,541.97,0.00,541.97,"99990106J","999-96-2205","999 HARRIS TIME PKWY OLYMPIA W","CONCORD","NH","03301-","LEE, EVERETT","RACHEL","JUJU",NULL,NULL,1,2018/07/30 18:10:38
NULL,"DST",2,"AMER SKAN FOUNDERS INTL SM CAP - A",163,"029650108","AMERICAN SKANDIA ADVISOR FUNDS",20,1466,2003/04/01 00:00:00,2003/04/03 00:00:00,NULL,"B",11.0480,17.780000,196.43,0.00,196.43,"999907188","999-98-8280","123 SKYWOOD DRIVE NORTH PARK O","CONCORD","NH","03301-5916","JULES, MYRON","PETER","LEE",NULL,NULL,1,2018/07/30 18:10:38
NULL,"DST",2,"AMER SKAN AIM INTL EQUITY -B",163,"029650157","AMERICAN SKANDIA ADVISOR FUNDS",20,1801,2003/04/01 00:00:00,2003/04/03 00:00:00,NULL,"B",195.3130,9.860000,1925.79,0.00,1925.79,"999901597","999-92-3923","999 HARRIS TIME PKWY OLYMPIA W","AUSTIN","TX","78733-6321","JUJU, HERMIE","PETER","POLINE",NULL,NULL,1,2018/07/30 18:10:38
