clientsid,cli_no,date,cli_name,address,phone,rep_no,branch_no,birth_date,last_trade,addr,city,state,zip,lname,fname,middle,soc_sec,employer,empaddr,nocontact,customerid,lastmodify,addr2,longname,acct_type,inact_date,nac_date,jtsoc_sec,jtname,jtdob,closed,rap,cru_date,m_addr,m_addr2,m_city,m_state,m_zip,open_date,email
NULL,999977510,3/7/2003 0:00,"WILLIS, RICHARD",123 SKYWOOD DRIVE NORTH PARK OH 12345,(800)123-1234,2,0,NULL,NULL,123 SKYWOOD DRIVE NORTH PARK O,Somersworth,NH,0386-7,WILLIS,RICHARD,NULL,999-97-7510,NULL,NULL,1,1,7/31/2018 9:27,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,999998875,3/2/2003 0:00,"FRANKS, ARABELLA",999 HARRIS TIME PKWY OLYMPIA WA 01234,(800)123-1234,2,0,NULL,NULL,999 HARRIS TIME PKWY OLYMPIA W,KENNSINGTON,NH,03833-,FRANKS,ARABELLA,NULL,999-99-8875,NULL,NULL,0,1,7/31/2018 9:27,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,999922843,11/11/2002 0:00,"PARKS, MURIEL M",123 SKYWOOD DRIVE NORTH PARK OH 12345,(800)123-1234,2,0,NULL,NULL,123 SKYWOOD DRIVE NORTH PARK O,DOVER,NH,03820-,PARKS,MURIEL M,NULL,999-92-2843,NULL,NULL,1,1,7/31/2018 9:27,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,999926458,11/17/2002 0:00,"TIM, ROLAND",999 HARRIS TIME PKWY OLYMPIA WA 01234,(800)123-1234,2,0,NULL,NULL,999 HARRIS TIME PKWY OLYMPIA W,DOVER,NH,03820-,TIM,ROLAND,NULL,999-92-6458,NULL,NULL,0,1,7/31/2018 9:27,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,999929420,3/2/2003 0:00,"JOHNS, JOSEPHINE",123 SKYWOOD DRIVE NORTH PARK OH 12345,(800)123-1234,2,0,NULL,NULL,123 SKYWOOD DRIVE NORTH PARK O,SOMERSWORTH,NH,03878-,JOHNS,JOSEPHINE,NULL,999-92-9420,NULL,NULL,0,1,7/31/2018 9:27,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,999942977,3/7/2003 0:00,"LONGLY, MARLAND",999 HARRIS TIME PKWY OLYMPIA WA 01234,(800)123-1234,2,0,NULL,NULL,999 HARRIS TIME PKWY OLYMPIA W,Hampton,NH,03842-,LONGLY,MARLAND,NULL,999-94-2977,NULL,NULL,1,1,7/31/2018 9:27,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,999942988,3/7/2003 0:00,"DEARBORN, HENRY",123 SKYWOOD DRIVE NORTH PARK OH 12345,(800)123-1234,2,0,NULL,NULL,123 SKYWOOD DRIVE NORTH PARK O,Kittery,ME,03904-,DEARBORN,HENRY,NULL,999-94-2988,NULL,NULL,0,1,7/31/2018 9:27,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,999944405,1/23/2003 0:00,"DEADERS, RITA C",999 HARRIS TIME PKWY OLYMPIA WA 01234,(800)123-1234,2,0,12/22/1921 0:00,NULL,999 HARRIS TIME PKWY OLYMPIA W,NEWMARKET,NH,03857-1914,DEADERS,RITA C,NULL,999-94-4405,NULL,NULL,0,1,7/31/2018 9:27,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,999962209,12/8/2002 0:00,"POLLIS, GABRIEL H",123 SKYWOOD DRIVE NORTH PARK OH 12345,(800)123-1234,2,0,NULL,NULL,123 SKYWOOD DRIVE NORTH PARK O,BOW,NH,03304-,POLLIS,GABRIEL H,NULL,999-96-2209,NULL,NULL,0,1,7/31/2018 9:27,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,999964659,11/11/2002 0:00,"JACKS, WINTHROP",999 HARRIS TIME PKWY OLYMPIA WA 01234,(800)123-1234,2,0,NULL,NULL,999 HARRIS TIME PKWY OLYMPIA W,HAMPTON,NH,03842-,JACKS,WINTHROP,NULL,999-96-4659,NULL,NULL,0,1,7/31/2018 9:27,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
